k 14 
p edge 200 1534 
e 2 1 23
e 3 2 15
e 4 3 23
e 5 4 25
e 6 5 19
e 7 6 3
e 8 7 22
e 9 8 18
e 10 9 18
e 11 10 10
e 12 11 1
e 13 12 7
e 14 13 5
e 15 14 9
e 16 15 8
e 17 16 2
e 18 17 10
e 19 18 22
e 20 19 25
e 21 20 22
e 22 21 22
e 23 22 14
e 24 23 4
e 25 24 2
e 26 25 24
e 27 26 5
e 28 27 7
e 29 28 11
e 30 29 9
e 31 30 16
e 32 31 24
e 33 32 9
e 34 33 18
e 35 34 16
e 36 35 12
e 37 1 19
e 37 36 8
e 38 1 18
e 38 2 20
e 38 37 20
e 39 1 6
e 39 2 24
e 39 3 7
e 39 38 15
e 40 2 8
e 40 3 19
e 40 4 10
e 40 39 6
e 41 3 24
e 41 4 4
e 41 5 20
e 41 40 17
e 42 4 16
e 42 5 4
e 42 6 19
e 42 41 6
e 43 5 8
e 43 6 25
e 43 7 25
e 43 42 7
e 44 6 16
e 44 7 20
e 44 8 8
e 44 43 9
e 45 7 17
e 45 8 19
e 45 9 3
e 45 44 21
e 46 8 16
e 46 9 23
e 46 10 9
e 46 45 23
e 47 9 20
e 47 10 8
e 47 11 24
e 47 46 13
e 48 10 1
e 48 11 21
e 48 12 8
e 48 47 9
e 49 11 18
e 49 12 10
e 49 13 16
e 49 48 9
e 50 12 10
e 50 13 5
e 50 14 21
e 50 49 21
e 51 13 14
e 51 14 17
e 51 15 20
e 51 50 4
e 52 14 16
e 52 15 16
e 52 16 23
e 52 51 17
e 53 15 23
e 53 16 19
e 53 17 17
e 53 52 22
e 54 16 17
e 54 17 11
e 54 18 17
e 54 53 20
e 55 17 6
e 55 18 17
e 55 19 1
e 55 54 11
e 56 18 6
e 56 19 4
e 56 20 9
e 56 55 23
e 57 19 22
e 57 20 5
e 57 21 3
e 57 56 19
e 58 20 24
e 58 21 18
e 58 22 2
e 58 57 5
e 59 21 9
e 59 22 17
e 59 23 13
e 59 58 21
e 60 22 4
e 60 23 14
e 60 24 1
e 60 59 18
e 61 23 6
e 61 24 7
e 61 25 25
e 61 60 6
e 62 24 15
e 62 25 18
e 62 26 1
e 62 61 18
e 63 25 8
e 63 26 11
e 63 27 18
e 63 62 3
e 64 26 15
e 64 27 9
e 64 28 14
e 64 63 14
e 65 27 13
e 65 28 23
e 65 29 16
e 65 64 22
e 66 28 22
e 66 29 16
e 66 30 2
e 66 65 10
e 67 29 21
e 67 30 22
e 67 31 25
e 67 66 4
e 68 30 4
e 68 31 6
e 68 32 13
e 68 67 3
e 69 31 9
e 69 32 25
e 69 33 17
e 69 68 23
e 70 32 21
e 70 33 8
e 70 34 7
e 70 69 17
e 71 33 8
e 71 34 10
e 71 35 3
e 71 70 21
e 72 34 22
e 72 35 22
e 72 36 5
e 72 71 5
e 73 35 16
e 73 36 7
e 73 37 18
e 73 72 13
e 74 1 24
e 74 36 21
e 74 37 2
e 74 38 10
e 74 73 24
e 75 1 1
e 75 2 25
e 75 37 13
e 75 38 21
e 75 39 9
e 75 74 14
e 76 1 1
e 76 2 4
e 76 3 4
e 76 38 20
e 76 39 17
e 76 40 7
e 76 75 21
e 77 2 6
e 77 3 5
e 77 4 4
e 77 39 6
e 77 40 12
e 77 41 18
e 77 76 13
e 78 3 13
e 78 4 14
e 78 5 21
e 78 40 21
e 78 41 5
e 78 42 23
e 78 77 7
e 79 4 9
e 79 5 19
e 79 6 5
e 79 41 9
e 79 42 11
e 79 43 22
e 79 78 3
e 80 5 4
e 80 6 14
e 80 7 2
e 80 42 23
e 80 43 3
e 80 44 21
e 80 79 23
e 81 6 15
e 81 7 12
e 81 8 8
e 81 43 20
e 81 44 18
e 81 45 7
e 81 80 24
e 82 7 16
e 82 8 17
e 82 9 6
e 82 44 18
e 82 45 4
e 82 46 23
e 82 81 23
e 83 8 19
e 83 9 4
e 83 10 5
e 83 45 22
e 83 46 24
e 83 47 8
e 83 82 15
e 84 9 9
e 84 10 24
e 84 11 10
e 84 46 1
e 84 47 23
e 84 48 20
e 84 83 15
e 85 10 8
e 85 11 13
e 85 12 21
e 85 47 3
e 85 48 15
e 85 49 24
e 85 84 13
e 86 11 7
e 86 12 12
e 86 13 8
e 86 48 5
e 86 49 20
e 86 50 23
e 86 85 22
e 87 12 9
e 87 13 13
e 87 14 5
e 87 49 3
e 87 50 5
e 87 51 23
e 87 86 19
e 88 13 23
e 88 14 1
e 88 15 14
e 88 50 2
e 88 51 17
e 88 52 4
e 88 87 4
e 89 14 18
e 89 15 10
e 89 16 8
e 89 51 10
e 89 52 16
e 89 53 2
e 89 88 22
e 90 15 9
e 90 16 21
e 90 17 25
e 90 52 23
e 90 53 7
e 90 54 11
e 90 89 18
e 91 16 8
e 91 17 22
e 91 18 5
e 91 53 17
e 91 54 5
e 91 55 19
e 91 90 4
e 92 17 14
e 92 18 23
e 92 19 23
e 92 54 22
e 92 55 1
e 92 56 22
e 92 91 7
e 93 18 18
e 93 19 16
e 93 20 6
e 93 55 10
e 93 56 25
e 93 57 3
e 93 92 7
e 94 19 20
e 94 20 21
e 94 21 12
e 94 56 9
e 94 57 6
e 94 58 20
e 94 93 19
e 95 20 14
e 95 21 3
e 95 22 13
e 95 57 17
e 95 58 6
e 95 59 20
e 95 94 17
e 96 21 14
e 96 22 4
e 96 23 14
e 96 58 4
e 96 59 13
e 96 60 25
e 96 95 25
e 97 22 11
e 97 23 21
e 97 24 19
e 97 59 6
e 97 60 15
e 97 61 17
e 97 96 23
e 98 23 4
e 98 24 19
e 98 25 24
e 98 60 13
e 98 61 22
e 98 62 18
e 98 97 4
e 99 24 2
e 99 25 22
e 99 26 19
e 99 61 13
e 99 62 10
e 99 63 11
e 99 98 16
e 100 25 4
e 100 26 13
e 100 27 21
e 100 62 10
e 100 63 7
e 100 64 23
e 100 99 5
e 101 26 6
e 101 27 16
e 101 28 19
e 101 63 13
e 101 64 18
e 101 65 19
e 101 100 22
e 102 27 6
e 102 28 25
e 102 29 1
e 102 64 1
e 102 65 22
e 102 66 1
e 102 101 19
e 103 28 16
e 103 29 15
e 103 30 5
e 103 65 1
e 103 66 2
e 103 67 17
e 103 102 18
e 104 29 18
e 104 30 24
e 104 31 1
e 104 66 12
e 104 67 3
e 104 68 23
e 104 103 6
e 105 30 19
e 105 31 16
e 105 32 15
e 105 67 23
e 105 68 5
e 105 69 22
e 105 104 4
e 106 31 4
e 106 32 21
e 106 33 8
e 106 68 18
e 106 69 23
e 106 70 13
e 106 105 2
e 107 32 9
e 107 33 24
e 107 34 25
e 107 69 15
e 107 70 20
e 107 71 16
e 107 106 9
e 108 33 4
e 108 34 21
e 108 35 6
e 108 70 19
e 108 71 2
e 108 72 19
e 108 107 23
e 109 34 18
e 109 35 12
e 109 36 20
e 109 71 5
e 109 72 2
e 109 73 11
e 109 108 23
e 110 35 11
e 110 36 12
e 110 37 13
e 110 72 9
e 110 73 2
e 110 74 7
e 110 109 10
e 111 1 9
e 111 36 10
e 111 37 9
e 111 38 18
