k 8 
p edge 28 210 
e 4 3 17
e 5 2 16
e 6 1 14
e 7 3 17
e 7 5 16
e 7 6 3
e 8 2 23
e 8 4 26
e 8 6 7
e 9 1 7
e 9 4 6
e 9 5 11
e 10 1 26
e 10 2 18
e 10 3 17
e 11 3 9
e 11 5 24
e 11 6 9
e 11 8 18
e 11 9 3
e 11 10 21
e 12 2 24
e 12 4 6
e 12 6 3
e 12 7 12
e 12 9 5
e 12 10 18
e 13 1 2
e 13 4 16
e 13 5 16
e 13 7 9
e 13 8 3
e 13 10 12
e 14 1 16
e 14 2 6
e 14 3 24
e 14 7 21
e 14 8 26
e 14 9 26
e 15 1 7
e 15 2 3
e 15 3 5
e 15 4 17
e 15 5 13
e 15 6 28
e 16 3 26
e 16 5 28
e 16 6 19
e 16 8 5
e 16 9 21
e 16 10 2
e 16 12 21
e 16 13 6
e 16 14 17
e 16 15 28
e 17 2 25
e 17 4 28
e 17 6 12
e 17 7 10
e 17 9 19
e 17 10 11
e 17 11 10
e 17 13 29
e 17 14 27
e 17 15 20
e 18 1 5
e 18 4 4
e 18 5 10
e 18 7 4
e 18 8 6
e 18 10 12
e 18 11 2
e 18 12 12
e 18 14 7
e 18 15 13
e 19 1 1
e 19 2 3
e 19 3 22
e 19 7 4
e 19 8 5
e 19 9 1
e 19 11 19
e 19 12 15
e 19 13 25
e 19 15 5
e 20 1 14
e 20 2 13
e 20 3 27
e 20 4 6
e 20 5 29
e 20 6 12
e 20 11 27
e 20 12 29
e 20 13 18
e 20 14 9
e 21 1 12
e 21 2 18
e 21 3 6
e 21 4 22
e 21 5 4
e 21 6 23
e 21 7 19
e 21 8 24
e 21 9 2
e 21 10 7
e 22 3 5
e 22 5 29
e 22 6 9
e 22 8 11
e 22 9 20
e 22 10 10
e 22 12 26
e 22 13 23
e 22 14 18
e 22 15 13
e 22 17 7
e 22 18 6
e 22 19 7
e 22 20 21
e 22 21 15
e 23 2 26
e 23 4 8
e 23 6 25
e 23 7 11
e 23 9 24
e 23 10 6
e 23 11 23
e 23 13 1
e 23 14 7
e 23 15 3
e 23 16 14
e 23 18 1
e 23 19 30
e 23 20 13
e 23 21 30
e 24 1 1
e 24 4 18
e 24 5 24
e 24 7 10
e 24 8 28
e 24 10 20
e 24 11 21
e 24 12 10
e 24 14 6
e 24 15 2
e 24 16 3
e 24 17 9
e 24 19 4
e 24 20 13
e 24 21 12
e 25 1 6
e 25 2 3
e 25 3 10
e 25 7 28
e 25 8 7
e 25 9 21
e 25 11 29
e 25 12 20
e 25 13 13
e 25 15 27
e 25 16 17
e 25 17 20
e 25 18 16
e 25 20 1
e 25 21 24
e 26 1 4
e 26 2 26
e 26 3 30
e 26 4 13
e 26 5 20
e 26 6 4
e 26 11 7
e 26 12 9
e 26 13 8
e 26 14 27
e 26 16 26
e 26 17 12
e 26 18 28
e 26 19 14
e 26 21 30
e 27 1 13
e 27 2 27
e 27 3 29
e 27 4 8
e 27 5 4
e 27 6 16
e 27 7 12
e 27 8 23
e 27 9 17
e 27 10 30
e 27 16 10
e 27 17 17
e 27 18 1
e 27 19 8
e 27 20 12
e 28 1 7
e 28 2 26
e 28 3 15
e 28 4 20
e 28 5 15
e 28 6 27
e 28 7 11
e 28 8 13
e 28 9 8
e 28 10 8
e 28 11 17
e 28 12 7
e 28 13 3
e 28 14 23
e 28 15 30
