k 16 
p edge 70 1855 
e 6 3 11
e 6 4 3
e 6 5 4
e 7 2 12
e 7 4 1
e 7 5 2
e 8 2 4
e 8 3 7
e 8 5 2
e 9 2 13
e 9 3 3
e 9 4 14
e 10 1 12
e 10 4 13
e 10 5 14
e 10 8 4
e 10 9 5
e 11 1 8
e 11 3 13
e 11 5 7
e 11 7 14
e 11 9 5
e 12 1 8
e 12 3 13
e 12 4 14
e 12 7 13
e 12 8 5
e 13 1 6
e 13 2 3
e 13 5 1
e 13 6 8
e 13 9 4
e 13 12 8
e 14 1 14
e 14 2 1
e 14 4 7
e 14 6 5
e 14 8 4
e 14 11 10
e 15 1 6
e 15 2 4
e 15 3 14
e 15 6 14
e 15 7 9
e 15 10 3
e 16 3 10
e 16 4 3
e 16 5 14
e 16 7 3
e 16 8 14
e 16 9 1
e 16 10 13
e 16 11 1
e 16 12 11
e 16 13 15
e 16 14 12
e 16 15 12
e 17 2 3
e 17 4 8
e 17 5 5
e 17 6 12
e 17 8 12
e 17 9 9
e 17 10 6
e 17 11 14
e 17 12 14
e 17 13 15
e 17 14 7
e 17 15 1
e 18 2 4
e 18 3 11
e 18 5 10
e 18 6 6
e 18 7 13
e 18 9 9
e 18 10 2
e 18 11 9
e 18 12 3
e 18 13 9
e 18 14 15
e 18 15 12
e 19 2 2
e 19 3 9
e 19 4 11
e 19 6 8
e 19 7 10
e 19 8 13
e 19 10 8
e 19 11 11
e 19 12 14
e 19 13 4
e 19 14 15
e 19 15 9
e 20 1 10
e 20 4 11
e 20 5 13
e 20 6 7
e 20 7 8
e 20 8 5
e 20 9 10
e 20 11 2
e 20 12 4
e 20 13 14
e 20 14 15
e 20 15 5
e 20 18 12
e 20 19 1
e 21 1 13
e 21 3 15
e 21 5 10
e 21 6 8
e 21 7 3
e 21 8 2
e 21 9 6
e 21 10 11
e 21 12 3
e 21 13 9
e 21 14 3
e 21 15 3
e 21 17 14
e 21 19 15
e 22 1 13
e 22 3 9
e 22 4 11
e 22 6 14
e 22 7 13
e 22 8 8
e 22 9 11
e 22 10 2
e 22 11 15
e 22 13 7
e 22 14 13
e 22 15 13
e 22 17 8
e 22 18 14
e 23 1 12
e 23 2 8
e 23 5 9
e 23 6 8
e 23 7 7
e 23 8 7
e 23 9 12
e 23 10 12
e 23 11 2
e 23 12 15
e 23 14 9
e 23 15 2
e 23 16 3
e 23 19 4
e 23 22 10
e 24 1 8
e 24 2 6
e 24 4 8
e 24 6 9
e 24 7 14
e 24 8 2
e 24 9 5
e 24 10 3
e 24 11 5
e 24 12 14
e 24 13 7
e 24 15 10
e 24 16 11
e 24 18 6
e 24 21 9
e 25 1 15
e 25 2 13
e 25 3 7
e 25 6 1
e 25 7 11
e 25 8 8
e 25 9 14
e 25 10 6
e 25 11 11
e 25 12 2
e 25 13 13
e 25 14 2
e 25 16 3
e 25 17 9
e 25 20 5
e 26 1 14
e 26 2 8
e 26 3 8
e 26 4 8
e 26 5 13
e 26 8 12
e 26 9 2
e 26 11 3
